,Tension fotocatodo [V],Escala,X,Y,R,theta,Hora
0,-5.0,16.0,-1.60811e-10,-2.27375e-13,1.60782e-10,-179.928,8:29:56
1,-4.5,16.0,-1.59248e-10,-2.55797e-13,1.59219e-10,-179.916,
2,-4.0,16.0,-1.5777e-10,-1.70531e-13,1.57741e-10,-179.94,
3,-3.5,16.0,-1.56292e-10,-2.55797e-13,1.56263e-10,-179.916,
4,-3.0,16.0,-1.54871e-10,-1.70531e-13,1.54842e-10,-179.94,
5,-2.5,16.0,-1.53393e-10,-2.27375e-13,1.53364e-10,-179.916,
6,-2.0,16.0,-1.51943e-10,-2.55797e-13,1.51915e-10,-179.91,
7,-1.5,16.0,-1.50522e-10,-1.70531e-13,1.50494e-10,-179.934,
8,-1.0,16.0,-1.49186e-10,-2.55797e-13,1.49158e-10,-179.91,
9,-0.5,16.0,-1.48135e-10,-1.70531e-13,1.48106e-10,-179.934,
10,0.0,16.0,-1.48249e-10,-2.55797e-13,1.4822e-10,-179.904,
11,0.5,16.0,-1.50068e-10,-1.70531e-13,1.50039e-10,-179.934,
12,1.0,16.0,-1.53791e-10,-2.84219e-13,1.53762e-10,-179.898,
13,1.5,16.0,-1.58878e-10,-1.42109e-13,1.5885e-10,-179.952,
14,2.0,16.0,-1.65557e-10,-1.70531e-13,1.65529e-10,-179.94,
15,2.5,16.0,-1.73288e-10,-3.69484e-13,1.7326e-10,-179.88,
16,3.0,16.0,-1.82156e-10,-3.97906e-13,1.82127e-10,-179.88,
17,3.5,16.0,-1.91847e-10,-1.98953e-13,1.91819e-10,-179.946,
18,4.0,16.0,-2.02676e-10,-2.27375e-13,2.02648e-10,-179.94,
19,4.5,16.0,-2.13903e-10,-4.83173e-13,2.13874e-10,-179.874,
20,5.0,16.0,-2.26152e-10,-2.55797e-13,2.26124e-10,-179.94,
